, Dados Cadastrais ,,,,,,,,,,, Múltiplos ,,,,,, Dividendos ,,,, Estrutura de Capital ,,,,,,, EBITDA ,,,,,,, Fluxo de Caixa ,,, Indicadores de Resultado ,,,,, Liquidez das Ações na Última Semana ,,
149.00, JHSF Part , ON , JHSF3 ," R$5,162,785 ",-,-, Crescimento , Novo Mercado , Consumo cíclico , Construção civil , Incorporações ,5.90,16.8%,6.70,1.10,2.70,7.61, R$0.16 , R$1.28 ,2.1%,13%," R$4,825,976 "," R$2,607,090 "," R$583,179 "," R$2,023,911 ",0.54,1.54, Baixo Endividamento ," R$475,686 ","-R$138,680 "," R$203,831 "," R$342,126 "," R$635,732 "," R$1,012,033 ",16%," R$138,818 ",375%,902%,20%,8%,9%,1.81,30/06/2022," R$45,296 "," 18,793 ", Liquidez Alta 
150.00, Armac , ON , ARML3 ," R$5,113,584 ",-,-, Crescimento e Dividendos , Novo Mercado , Bens industriais , Máquinas e equipamentos , Máq. e equip. industriais ,51.40,1.9%,-,4.60,7.40,14.81, R$0.36 , R$0.29 ,2.4%,123%," R$1,119,421 "," R$1,611,595 "," R$4,363 "," R$1,607,232 ",1.44,-, Baixo Endividamento , - , - , - ," R$19,120 "," R$29,606 ", - ,-, - ,-,N/D,,8%,3%,-,30/06/2022," R$15,262 "," 6,101 ", Liquidez Alta 
151.00, Banrisul , ON , BRSR3 ," R$5,090,393 ",-,-, Crescimento e Dividendos , Nível 1 , Financeiro , Intermediários financeiros , Bancos ,6.70,15.0%,-,0.60,-,13.00, R$1.03 , R$1.95 ,7.9%,53%," R$8,965,823 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$4,232,199 ",-,N/D,9%,,1%,0.75,30/06/2022, R$392 , 191 , Liquidez Baixa 
152.00, Banrisul , PNB , BRSR6 ," R$5,090,393 ",-,-, Crescimento e Dividendos , Nível 1 , Financeiro , Intermediários financeiros , Bancos ,6.10,16.4%,-,0.50,-,11.85, R$1.03 , R$1.95 ,8.7%,53%," R$8,965,823 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$4,232,199 ",-,N/D,9%,,1%,1.01,30/06/2022," R$120,127 "," 31,819 ", Liquidez Alta 
153.00, Guararapes , ON , GUAR3 ," R$4,967,015 ",-,-, Dividendos , Novo Mercado , Consumo cíclico , Comércio , Tecidos vestuário e calçados ,10.80,9.2%,7.00,1.00,0.60,9.95, R$0.55 , R$0.92 ,5.5%,60%," R$5,163,268 "," R$3,635,184 "," R$882,608 "," R$2,752,576 ",0.70,2.26, Baixo Endividamento ," R$724,820 "," R$689,695 "," R$1,188,717 "," R$1,701,321 "," R$1,318,806 "," R$1,047,545 ",8%," R$157,480 ",203%,56%,9%,4%,3%,2.13,30/06/2022," R$48,437 "," 17,806 ", Liquidez Alta 
154.00, Movida , ON , MOVI3 ," R$4,950,005 ",-,0.1%, Crescimento e Dividendos , Novo Mercado , Consumo cíclico , Diversos , Aluguel de carros ,5.00,20.0%,4.80,1.70,0.60,13.70, R$1.42 , R$2.75 ,10.4%,52%," R$2,854,538 "," R$15,834,459 "," R$919,646 "," R$14,914,813 ",5.55,3.20, Dívida Alta ," R$253,465 "," R$269,127 "," R$326,847 "," R$481,738 "," R$746,559 "," R$3,158,773 ",66%,"-R$5,970,065 ",-3%,27%,38%,11%,4%,1.70,30/06/2022," R$84,551 "," 22,869 ", Liquidez Alta 
155.00, Odontoprev , ON , ODPV3 ," R$4,827,481 ",-,-, Crescimento , Novo Mercado , Saúde , Serviços médico-hospitalares análises e diagnósticos , Serviços médico-hospitalares análises e diagnósticos ,11.10,9.0%,7.30,4.20,2.70,8.68, R$0.29 , R$0.78 ,3.4%,38%," R$1,162,425 ", R$-   ," R$19,585 ","-R$19,585 ",0.00,-0.41, Empresa com Mais Caixa que Dívida ," R$316,407 "," R$289,185 "," R$584,083 "," R$397,549 "," R$407,315 "," R$624,500 ",15%," R$783,580 ",12%,156%,41%,35%,22%,0.38,30/06/2022," R$113,998 "," 21,421 ", Liquidez Alta 
156.00, Abc Brasil , PN , ABCB4 ," R$4,805,791 ",-,-, Crescimento , Nível 2 , Financeiro , Intermediários financeiros , Bancos ,6.90,14.5%,-,1.00,-,21.80, R$1.28 , R$3.17 ,5.9%,40%," R$4,910,571 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$2,710,639 ",-,N/D,16%,,1%,0.91,30/06/2022," R$63,994 "," 18,621 ", Liquidez Alta 
157.00, Eztec , ON , EZTC3 ," R$4,773,974 ",0.1%,0.1%, Crescimento , Novo Mercado , Consumo cíclico , Construção civil , Incorporações ,12.10,8.3%,14.20,1.10,4.90,21.87, R$0.66 , R$1.81 ,3.0%,37%," R$4,387,528 "," R$394,760 "," R$64,042 "," R$330,718 ",0.09,-2.03, Baixo Endividamento ," R$399,444 "," R$174,952 "," R$321,159 "," R$6,049 "," R$229,647 "," R$300,129 ",-6%,"-R$99,531 ",-51%,682%,10%,5%,8%,1.31,30/06/2022," R$142,892 "," 29,977 ", Liquidez Alta 
158.00, Wilson Sons , ON , PORT3 ," R$4,707,664 ",-,-, Dividendos , Novo Mercado , Bens industriais , Transporte , Serviços de apoio e armazenagem ,20.80,4.8%,8.10,2.10,2.10,10.70, R$0.45 , R$0.51 ,4.2%,87%," R$2,261,700 "," R$2,648,182 "," R$151,091 "," R$2,497,091 ",1.17,2.80, Baixo Endividamento ," R$575,588 "," R$560,722 "," R$561,038 "," R$570,716 "," R$507,316 "," R$891,293 ",9%," R$542,799 ",76%,113%,11%,7%,4%,1.17,30/06/2022," R$8,895 "," 4,309 ", Liquidez Moderada 
159.00, MRV , ON , MRVE3 ," R$4,600,369 ",0.1%,0.1%, Crescimento e Dividendos , Novo Mercado , Consumo cíclico , Construção civil , Incorporações ,7.70,12.9%,7.40,0.70,0.70,9.52, R$0.56 , R$1.23 ,5.9%,45%," R$6,144,799 "," R$6,199,152 "," R$1,463,264 "," R$4,735,888 ",1.01,3.47, Baixo Endividamento ," R$535,364 "," R$496,405 "," R$715,699 "," R$805,611 "," R$827,839 "," R$1,363,377 ",21%,"-R$203,420 ",-93%,140%,11%,5%,3%,1.29,30/06/2022," R$1,058,260 "," 173,525 ", Liquidez Alta 
160.00, Grupo Sbf , ON , SBFG3 ," R$4,572,300 ",-,-, Crescimento , Novo Mercado , Consumo cíclico , Comércio , Produtos diversos ,8.10,12.3%,8.00,2.00,0.80,18.77, R$0.12 , R$2.30 ,0.6%,5%," R$2,274,899 "," R$2,515,218 "," R$407,167 "," R$2,108,051 ",1.11,2.52, Baixo Endividamento , - , - , - , - , - ," R$834,886 ",-," R$346,586 ",134%,144%,29%,6%,8%,1.49,30/06/2022," R$106,130 "," 27,053 ", Liquidez Alta 
161.00, Multilaser , ON , MLAS3 ," R$4,567,078 ",-,-, Crescimento , Novo Mercado , Tecnologia da informação , Computadores e equipamentos , Computadores e equipamentos ,7.50,13.4%,7.10,1.10,1.00,5.62, R$0.12 , R$0.75 ,2.2%,16%," R$4,190,244 "," R$657,654 "," R$480,953 "," R$176,701 ",0.16,0.27, Baixo Endividamento , - , - , - ," R$244,743 "," R$237,234 "," R$665,756 ",-,"-R$590,951 ",-36%,407%,33%,9%,10%,-,30/06/2022," R$33,219 "," 23,912 ", Liquidez Alta 
162.00, Ferbasa , PN , FESA4 ," R$4,566,666 ",-,-, Crescimento , Nível 1 , Materiais básicos , Siderurgia e metalurgia , Siderurgia ,4.10,24.5%,3.00,1.60,1.50,52.97, R$3.81 , R$12.96 ,7.2%,29%," R$2,843,472 "," R$382,455 "," R$431,357 ","-R$48,902 ",0.13,-0.31, Empresa com Mais Caixa que Dívida ," R$269,999 "," R$83,422 "," R$356,087 "," R$522,746 "," R$365,307 "," R$1,395,336 ",39%," R$1,146,755 ",15%,109%,56%,31%,29%,0.79,30/06/2022," R$35,872 "," 3,097 ", Liquidez Alta 
163.00, Getnet BR , UNT , GETT11 ," R$4,330,448 ",-,-, Crescimento e Dividendos , Tradicional , Financeiro , Serviços financeiros diversos , Serviços financeiros diversos ,8.00,12.6%,5.70,1.30,1.40,4.75, R$0.21 , R$0.30 ,8.9%,71%," R$3,493,659 "," R$1,900,064 "," R$161,914 "," R$1,738,150 ",0.54,1.15, Baixo Endividamento , - , - , - , - , - ," R$959,957 ",-," R$276,070 ",183%,144%,17%,9%,1%,-,30/06/2022," R$3,641 "," 5,692 ", Liquidez Moderada 
164.00, Coelce , PNA , COCE5 ," R$4,181,851 ",-,-, Crescimento e Dividendos , Tradicional , Utilidade pública , Energia elétrica , Energia elétrica ,7.20,13.9%,5.10,1.00,0.40,48.15, R$3.45 , R$6.70 ,7.2%,51%," R$3,678,839 "," R$4,133,040 "," R$187,196 "," R$3,945,844 ",1.12,2.43, Baixo Endividamento ," R$661,000 "," R$729,426 "," R$808,019 "," R$741,253 "," R$835,119 "," R$1,587,058 ",19%," R$431,567 ",353%,413%,15%,9%,4%,0.51,30/06/2022," R$1,435 ", 144 , Liquidez Moderada 
165.00, Petz , ON , PETZ3 ," R$4,131,236 ",0.1%,0.1%, Crescimento , Novo Mercado , Consumo cíclico , Comércio , Produtos diversos ,53.80,1.9%,-,2.30,1.60,8.95, R$0.04 , R$0.17 ,0.4%,23%," R$1,796,107 "," R$145,681 "," R$392,357 ","-R$246,676 ",0.08,-, Empresa com Mais Caixa que Dívida , - , - , - , - , - , - ,-, - ,-,N/D,,4%,2%,-,30/06/2022," R$589,735 "," 87,156 ", Liquidez Alta 
166.00, Gol , PN , GOLL4 ," R$4,080,253 ",0.1%,0.1%," Alerta, Prejuízo ", Nível 2 , Bens industriais , Transporte , Transporte aéreo ,-0.70,-142.8%,-13.20,-0.20,0.30,9.75, R$-   ,-R$13.92 ,0.0%,0%,"-R$20,166,392 "," R$11,017,180 "," R$394,066 "," R$10,623,114 ",-0.55,-, Patrimônio Líquido Negativo ," R$235,914 "," R$1,144,213 "," R$1,495,180 "," R$2,068,478 "," R$3,860,721 ","-R$1,090,642 ",-236%," R$1,598,634 ",45%,47%,,-46%,-34%,2.06,30/06/2022," R$384,407 "," 43,880 ", Liquidez Alta 
167.00, Tupy , ON , TUPY3 ," R$4,065,851 ",-,-," Alerta, Baixo Crescimento ", Novo Mercado , Bens industriais , Material de transporte , Material rodoviário ,9.10,10.9%,5.10,1.40,0.50,28.21, R$0.30 , R$3.09 ,1.1%,10%," R$2,922,439 "," R$2,476,749 "," R$838,441 "," R$1,638,308 ",0.85,1.47, Baixo Endividamento ," R$598,201 "," R$339,128 "," R$447,406 "," R$649,260 "," R$682,642 "," R$1,115,324 ",13%," R$17,199 ",1563%,73%,18%,10%,6%,1.04,30/06/2022," R$75,822 "," 15,703 ", Liquidez Alta 
168.00, Enauta Part , ON , ENAT3 ," R$4,003,921 ",-,0.1%," Alerta, Baixo Crescimento ", Novo Mercado , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,4.00,25.2%,1.40,1.00,1.50,15.20, R$1.71 , R$3.83 ,11.2%,45%," R$3,922,414 "," R$648,374 "," R$1,635,713 ","-R$987,339 ",0.17,-0.45, Empresa com Mais Caixa que Dívida ,"-R$74,858 "," R$188,453 "," R$407,922 "," R$573,736 "," R$495,402 "," R$2,215,322 ",-297%," R$1,683,897 ",71%,199%,30%,27%,17%,1.09,30/06/2022," R$63,467 "," 16,671 ", Liquidez Alta 
169.00, Yduqs Part , ON , YDUQ3 ," R$3,938,637 ",0.2%,0.2%, Crescimento e Dividendos , Novo Mercado , Consumo cíclico , Diversos , Serviços educacionais ,371.40,0.3%,6.40,1.30,0.90,13.35, R$0.13 , R$0.04 ,1.0%,351%," R$3,137,431 "," R$5,636,491 "," R$705,390 "," R$4,931,101 ",1.80,3.30, Dívida Alta ," R$679,497 "," R$650,977 "," R$737,783 "," R$967,392 "," R$1,260,967 "," R$1,264,673 ",13%," R$686,645 ",84%,80%,0%,5%,0%,1.83,30/06/2022," R$281,449 "," 66,297 ", Liquidez Alta 
170.00, Log-In , ON , LOGN3 ," R$3,726,130 ",-,-, Crescimento , Novo Mercado , Bens industriais , Transporte , Transporte hidroviário ,22.70,4.4%,10.10,6.70,2.10,35.40, R$-   , R$1.56 ,0.0%,0%," R$553,583 "," R$1,446,543 "," R$262,360 "," R$1,184,183 ",2.61,1.89, Dívida Moderada ," R$135,874 "," R$259,524 ","-R$442,669 "," R$198,049 "," R$271,147 "," R$454,240 ",27%," R$511,846 ",50%,178%,41%,10%,6%,0.89,30/06/2022," R$22,222 "," 4,872 ", Liquidez Alta 
171.00, Iguatemi SA , ON , IGTI3 ," R$3,690,283 ",-,-," Alerta, Prejuízo ", Nível 1 , Financeiro , Exploração de imóveis , Exploração de imóveis ,-26.90,-3.7%,9.00,1.00,3.00,2.90, R$0.05 ,-R$0.11 ,1.7%,-45%," R$3,240,756 "," R$3,335,584 "," R$25,841 "," R$3,309,743 ",1.03,2.88, Baixo Endividamento ,"-R$182,642 "," R$494,952 "," R$510,052 "," R$544,728 "," R$610,930 "," R$607,467 ",-227%," R$335,316 ",48%,102%,-5%,6%,-2%,1.23,30/06/2022," R$2,134 "," 2,299 ", Liquidez Moderada 
172.00, Iguatemi SA , PN , IGTI4 ," R$3,690,283 ",-,-," Alerta, Prejuízo ", Nível 1 , Financeiro , Exploração de imóveis , Exploração de imóveis ,-29.40,-3.4%,9.00,1.10,3.30,9.50, - ,-R$0.11 ,N/D,-," R$3,240,756 "," R$3,335,584 "," R$25,841 "," R$3,309,743 ",1.03,2.88, Baixo Endividamento ,"-R$182,642 "," R$494,952 "," R$510,052 "," R$544,728 "," R$610,930 "," R$607,467 ",-227%," R$335,316 ",48%,102%,-5%,6%,-2%,-,30/06/2022," R$1,833 ", 987 , Liquidez Moderada 
173.00, Iguatemi SA , UNT , IGTI11 ," R$3,690,283 ",0.2%,0.2%," Alerta, Prejuízo ", Nível 1 , Financeiro , Exploração de imóveis , Exploração de imóveis ,-28.90,-3.5%,9.00,1.10,3.20,21.76, - ,-R$0.11 ,N/D,-," R$3,240,756 "," R$3,335,584 "," R$25,841 "," R$3,309,743 ",1.03,2.88, Baixo Endividamento ,"-R$182,642 "," R$494,952 "," R$510,052 "," R$544,728 "," R$610,930 "," R$607,467 ",-227%," R$335,316 ",48%,102%,-5%,6%,-2%,-,30/06/2022," R$170,457 "," 47,888 ", Liquidez Alta 
174.00, Ecorodovias , ON , ECOR3 ," R$3,672,879 ",0.1%,0.1%," Alerta, Baixo Crescimento ", Novo Mercado , Bens industriais , Transporte , Exploração de rodovias ,22.20,4.5%,6.20,1.70,0.70,5.28, R$-   , R$0.24 ,0.0%,0%," R$2,125,245 "," R$10,032,832 "," R$1,030,369 "," R$9,002,463 ",4.72,4.30, Dívida Alta ," R$1,311,371 "," R$1,114,438 "," R$1,630,189 "," R$1,617,873 "," R$1,363,201 "," R$2,055,795 ",9%," R$1,745,956 ",170%,470%,8%,7%,1%,1.39,30/06/2022," R$86,646 "," 39,902 ", Liquidez Alta 
175.00, Oncoclinicas , ON , ONCO3 ," R$3,611,844 ",-,-, Crescimento , Novo Mercado , Saúde , Serviços médico-hospitalares análises e diagnósticos , Serviços médico-hospitalares análises e diagnósticos ,32.40,3.1%,9.80,2.00,1.10,7.25, R$-   , R$0.22 ,0.0%,0%," R$1,801,421 "," R$2,461,360 "," R$500,625 "," R$1,960,735 ",1.37,2.49, Baixo Endividamento , - , - , - ," R$100,668 "," R$185,859 "," R$563,282 ",-,"-R$324,110 ",-170%,380%,,6%,2%,-,30/06/2022," R$22,992 "," 10,991 ", Liquidez Alta 
176.00, Cury S/A , ON , CURY3 ," R$3,496,005 ",-,-, Crescimento e Dividendos , Novo Mercado , Consumo cíclico , Construção civil , Incorporações ,11.00,9.1%,7.70,5.40,1.80,12.06, R$0.69 , R$1.10 ,5.7%,63%," R$648,428 "," R$398,972 "," R$454,074 ","-R$55,102 ",0.62,-0.64, Empresa com Mais Caixa que Dívida , - , - ," R$135,010 "," R$195,716 "," R$244,867 "," R$436,441 ",-," R$410,659 ",8%,137%,48%,29%,11%,-,30/06/2022," R$76,798 "," 27,151 ", Liquidez Alta 
177.00, Fras-Le , ON , FRAS3 ," R$3,471,208 ",-,-, Crescimento , Nível 1 , Bens industriais , Material de transporte , Material rodoviário ,14.70,6.8%,9.20,2.00,1.00,13.00, R$0.28 , R$0.89 ,2.2%,32%," R$1,754,883 "," R$953,011 "," R$676,164 "," R$276,847 ",0.54,-0.14, Baixo Endividamento ," R$122,453 "," R$123,653 "," R$106,431 "," R$183,776 "," R$164,379 "," R$371,660 ",25%," R$36,377 ",482%,187%,20%,9%,5%,1.09,30/06/2022," R$21,278 "," 6,436 ", Liquidez Alta 
178.00, Vulcabras , ON , VULC3 ," R$3,411,093 ",-,-, Crescimento , Novo Mercado , Consumo cíclico , Tecidos vestuário e calçados , Calçados ,9.30,10.7%,7.60,2.30,1.50,13.88, R$0.35 , R$1.49 ,2.5%,24%," R$1,511,288 "," R$300,274 "," R$105,653 "," R$194,621 ",0.20,0.41, Baixo Endividamento ," R$108,303 "," R$186,555 "," R$296,528 "," R$218,013 "," R$222,445 "," R$475,739 ",34%," R$256,950 ",56%,185%,30%,15%,17%,1.30,30/06/2022," R$21,419 "," 7,415 ", Liquidez Alta 
179.00, Camil , ON , CAML3 ," R$3,345,875 ",-,-, Crescimento , Novo Mercado , Consumo não cíclico , Alimentos processados , Alimentos diversos ,7.50,13.3%,6.70,1.20,0.40,9.46, R$0.36 , R$1.26 ,3.8%,29%," R$2,892,635 "," R$4,023,456 "," R$1,438,091 "," R$2,585,365 ",1.39,2.91, Baixo Endividamento , - , - , - , - , - ," R$887,895 ",-," R$230,347 ",364%,421%,17%,8%,5%,0.31,31/08/2022," R$72,194 "," 26,169 ", Liquidez Alta 
180.00, Ambipar , ON , AMBP3 ," R$3,327,082 ",-,0.1%, Crescimento , Novo Mercado , Utilidade pública , Água e saneamento , Água e saneamento ,27.60,3.6%,7.80,3.20,1.10,29.46, R$0.30 , R$1.07 ,1.0%,28%," R$1,035,450 "," R$3,878,394 "," R$1,377,909 "," R$2,500,485 ",3.75,3.24, Dívida Alta , - , - , - , - , - ," R$771,579 ",-," R$325,970 ",65%,72%,12%,8%,2%,-,30/06/2022," R$80,504 "," 15,020 ", Liquidez Alta 
181.00, Mater Dei , ON , MATD3 ," R$3,284,213 ",-,-, Crescimento , Novo Mercado , Saúde , Serviços médico-hospitalares análises e diagnósticos , Serviços médico-hospitalares análises e diagnósticos ,24.50,4.1%,-,2.00,2.50,8.59, R$0.09 , R$0.35 ,1.1%,26%," R$1,675,496 "," R$1,167,069 "," R$393,168 "," R$773,901 ",0.70,-, Baixo Endividamento , - , - , - ," R$220,705 "," R$257,846 ", - ,-, - ,-,N/D,,5%,3%,-,30/06/2022," R$23,009 "," 10,039 ", Liquidez Alta 
182.00, Metal Leve , ON , LEVE3 ," R$3,233,374 ",-,-, Crescimento e Dividendos , Novo Mercado , Consumo cíclico , Automóveis e motocicletas , Automóveis e motocicletas ,6.40,15.7%,4.80,2.20,0.90,25.20, R$4.20 , R$3.96 ,16.7%,106%," R$1,477,999 "," R$429,330 "," R$178,205 "," R$251,125 ",0.29,0.35, Baixo Endividamento ," R$372,352 "," R$117,082 "," R$405,445 "," R$466,811 "," R$440,835 "," R$721,015 ",14%," R$385,832 ",24%,96%,32%,21%,18%,0.92,30/06/2022," R$15,309 "," 3,513 ", Liquidez Alta 
183.00, Mills , ON , MILS3 ," R$3,166,454 ",-,-, Crescimento , Novo Mercado , Bens industriais , Máquinas e equipamentos , Máq. e equip. industriais ,18.10,5.5%,8.20,2.80,3.60,13.22, R$0.28 , R$0.73 ,2.1%,38%," R$1,146,952 "," R$483,414 "," R$450,928 "," R$32,486 ",0.42,0.04, Baixo Endividamento ," R$104,063 "," R$40,903 ","-R$43,240 ", R$271 ," R$119,279 "," R$389,510 ",30%," R$171,295 ",89%,99%,16%,13%,10%,2.07,30/06/2022," R$64,371 "," 19,301 ", Liquidez Alta 
184.00, Randon Part , ON , RAPT3 ," R$3,147,511 ",-,-, Crescimento , Nível 1 , Bens industriais , Material de transporte , Material rodoviário ,4.30,23.2%,5.00,1.10,0.30,8.84, R$0.72 , R$2.05 ,8.2%,35%," R$2,708,393 "," R$5,246,936 "," R$1,960,421 "," R$3,286,515 ",1.94,2.01, Dívida Moderada ," R$161,878 "," R$142,717 "," R$308,227 "," R$559,733 "," R$666,498 "," R$1,418,068 ",54%," R$1,018,379 ",43%,183%,29%,11%,7%,1.40,30/06/2022, R$313 , 146 , Liquidez Baixa 
185.00, Randon Part , PN , RAPT4 ," R$3,147,511 ",-,-, Crescimento , Nível 1 , Bens industriais , Material de transporte , Material rodoviário ,4.80,20.6%,5.00,1.20,0.30,9.95, R$0.72 , R$2.05 ,7.3%,35%," R$2,708,393 "," R$5,246,936 "," R$1,960,421 "," R$3,286,515 ",1.94,2.01, Dívida Moderada ," R$161,878 "," R$142,717 "," R$308,227 "," R$559,733 "," R$666,498 "," R$1,418,068 ",54%," R$1,018,379 ",43%,183%,29%,11%,7%,1.63,30/06/2022," R$65,429 "," 23,801 ", Liquidez Alta 
186.00, Brasilagro , ON , AGRO3 ," R$3,133,339 ",-,-, Crescimento e Dividendos , Novo Mercado , Consumo não cíclico , Agropecuária , Agricultura ,6.00,16.5%,4.30,1.40,1.60,31.70, R$4.64 , R$5.24 ,14.6%,88%," R$2,216,048 "," R$702,192 "," R$435,493 "," R$266,699 ",0.32,0.22, Baixo Endividamento ," R$196,529 ","-R$21,974 "," R$77,084 "," R$301,123 "," R$142,183 "," R$772,791 ",32%," R$205,178 ",26%,64%,24%,18%,16%,0.46,30/06/2022," R$44,774 "," 8,528 ", Liquidez Alta 
187.00, Boa Vista , ON , BOAS3 ," R$3,025,800 ",-,-, Crescimento , Novo Mercado , Financeiro , Serviços financeiros diversos , Serviços financeiros diversos ,12.00,8.4%,-,1.40,3.60,5.69, R$0.08 , R$0.48 ,1.4%,17%," R$2,162,369 "," R$49,712 "," R$1,309,223 ","-R$1,259,511 ",0.02,-, Empresa com Mais Caixa que Dívida , - , - , - , - , - , - ,-," R$452,425 ",-,N/D,13%,4%,10%,-,30/06/2022," R$27,952 "," 19,385 ", Liquidez Alta 
188.00, Orizon , ON , ORVR3 ," R$2,964,390 ",-,-," Alerta, Prejuízo ", Novo Mercado , Utilidade pública , Água e saneamento , Água e saneamento ,-56.10,-1.8%,19.00,6.80,5.90,41.46, R$-   ,-R$0.74 ,0.0%,0%," R$435,390 "," R$588,546 "," R$24,265 "," R$564,281 ",1.35,3.03, Baixo Endividamento , - , - ," R$50,987 "," R$78,355 "," R$32,344 "," R$186,477 ",-,"-R$91,143 ",-453%,539%,-12%,5%,-3%,-,30/06/2022," R$53,547 "," 6,409 ", Liquidez Alta 
189.00, Ihpardini , ON , PARD3 ," R$2,894,489 ",-,-, Crescimento , Novo Mercado , Saúde , Serviços médico-hospitalares análises e diagnósticos , Serviços médico-hospitalares análises e diagnósticos ,14.90,6.7%,6.60,3.10,1.40,22.82, R$0.59 , R$1.53 ,2.6%,38%," R$943,642 "," R$214,152 "," R$38,765 "," R$175,387 ",0.23,0.37, Baixo Endividamento ," R$177,338 "," R$186,927 "," R$234,735 "," R$226,144 "," R$327,733 "," R$468,858 ",21%," R$349,114 ",80%,210%,24%,13%,9%,0.95,30/06/2022," R$64,455 "," 10,207 ", Liquidez Alta 
190.00, BR Propert , ON , BRPR3 ," R$2,831,888 ",-,-," Alerta, Prejuízo ", Novo Mercado , Financeiro , Exploração de imóveis , Exploração de imóveis ,-1.90,-53.0%,-2.90,0.50,8.20,6.10, R$0.11 ,-R$3.24 ,1.7%,-3%," R$5,559,395 "," R$2,928,025 "," R$727,715 "," R$2,200,310 ",0.53,-, Baixo Endividamento ,"-R$68,256 "," R$139,892 "," R$487,285 "," R$520,528 "," R$775,577 ","-R$1,762,765 ",92%," R$258,705 ",9%,1152%,-21%,-14%,-16%,0.84,30/06/2022," R$132,645 "," 27,750 ", Liquidez Alta 
191.00, Ceee-D , ON , CEED3 ," R$2,798,288 ",-,-," Alerta, Prejuízo ", Tradicional , Utilidade pública , Energia elétrica , Energia elétrica ,-18.90,-5.3%,20.20,-1.00,0.60,41.00, R$-   ,-R$2.17 ,0.0%,0%,"-R$2,757,922 "," R$2,809,223 "," R$249,313 "," R$2,559,910 ",-1.02,8.25, Patrimônio Líquido Negativo ,"-R$424,202 ","-R$378,128 "," R$83,783 ","-R$340,587 ","-R$418,834 "," R$233,932 ",-189%,"-R$541,271 ",-56%,183%,,1%,-2%,-,30/06/2022, R$316 , 4 , Liquidez Baixa 
192.00, Terrasantapa , ON , LAND3 ," R$2,785,772 ",-,-, Dividendos , Novo Mercado , Consumo não cíclico , Agropecuária , Agricultura ,113.80,0.9%,39.60,4.10,23.90,28.95, R$0.20 , R$0.25 ,0.7%,81%," R$684,600 "," R$21,178 "," R$25,730 ","-R$4,552 ",0.03,-0.06, Empresa com Mais Caixa que Dívida ,"-R$16,241 ","-R$72,328 "," R$85,630 "," R$172,256 "," R$26,934 "," R$70,158 ",-234%," R$144,564 ",0%,-9%,3%,5%,2%,0.98,30/06/2022," R$4,167 ", 735 , Liquidez Moderada 
193.00, Irbbrasil Re , ON , IRBR3 ," R$2,676,262 ",0.1%,0.1%," Alerta, Prejuízo ", Novo Mercado , Financeiro , Previdência e seguros , Resseguradoras ,-1.70,-59.9%,-,0.40,-,1.09, R$-   ,-R$0.65 ,0.0%,0%," R$3,263,451 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$488,833 ",-,N/D,-20%,,-4%,2.13,30/06/2022," R$104,047 "," 48,883 ", Liquidez Alta 
194.00, Pague Menos , ON , PGMN3 ," R$2,658,327 ",-,-, Crescimento , Novo Mercado , Saúde , Comércio e distribuição , Medicamentos e outros produtos ,20.70,4.8%,4.90,1.20,0.30,6.00, R$-   , R$0.29 ,0.0%,0%," R$2,172,584 "," R$992,616 "," R$345,097 "," R$647,519 ",0.46,0.97, Baixo Endividamento ," R$266,171 "," R$206,222 "," R$253,125 "," R$286,609 "," R$468,836 "," R$670,048 ",20%," R$268,381 ",114%,98%,6%,5%,2%,-,30/06/2022," R$12,204 "," 6,811 ", Liquidez Alta 
195.00, Amazonia , ON , BAZA3 ," R$2,638,104 ",-,-, Crescimento , Tradicional , Financeiro , Intermediários financeiros , Bancos ,1.60,62.7%,-,0.30,-,47.06, R$6.84 , R$29.49 ,14.6%,23%," R$4,470,162 ", - ," R$3,095,430 ", - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$2,962,134 ",-,N/D,32%,,3%,0.55,30/06/2022," R$1,823 ", 242 , Liquidez Moderada 
196.00, Marcopolo , ON , POMO3 ," R$2,573,165 ",-,-," Alerta, Baixo Crescimento ", Nível 2 , Bens industriais , Material de transporte , Material rodoviário ,7.50,13.4%,14.40,0.80,0.60,2.45, R$0.04 , R$0.33 ,1.5%,11%," R$2,990,418 "," R$2,397,018 "," R$1,100,176 "," R$1,296,842 ",0.80,4.75, Baixo Endividamento ," R$212,506 "," R$353,634 "," R$119,685 "," R$362,090 "," R$338,024 "," R$272,452 ",5%," R$9,029 ",81%,7%,11%,2%,4%,1.22,30/06/2022, R$980 , 672 , Liquidez Baixa 
